bed_base,outcome,model,threshold,occ_col,cap_col,y_col,nobs,dropped_regressors,coef_above_thr,se_above_thr,p_above_thr,coef_above_x_cap_z,se_above_x_cap_z,p_above_x_cap_z,coef_above_x_nearest_trust_km_z,se_above_x_nearest_trust_km_z,p_above_x_nearest_trust_km_z,coef_above_x_trusts_within_10km_z,se_above_x_trusts_within_10km_z,p_above_x_trusts_within_10km_z,coef_above_x_trusts_within_25km_z,se_above_x_trusts_within_25km_z,p_above_x_trusts_within_25km_z
acute_proxy,ae_4hr_pct,threshold_interactions,0.88,kh03_occ_acute_rate,kh03_avail_acute_avg_beds,ae_type1_pct_4hr,3551,,0.0037335582403380516,0.0073357906917044455,0.610819778936952,-0.04230226875421796,0.10100208651654688,0.6753701469541098,-0.0015531831211421912,0.005420024618743582,0.7744638662835657,0.07647409870666776,0.016797604124686658,5.483510006287773e-06,-0.03717878837177983,0.009043670160505248,4.032693139444099e-05
acute_proxy,ae_4hr_pct,threshold_interactions,0.9,kh03_occ_acute_rate,kh03_avail_acute_avg_beds,ae_type1_pct_4hr,3551,,-0.001149980454129736,0.007223602320674281,0.8735226761412898,-0.15519817981520245,0.1078872817841199,0.15037874052742528,-0.00702052797826499,0.005847306981274629,0.22997388848394773,0.05902859648594355,0.018935814527726694,0.0018405039969513481,-0.023665647065660378,0.009265480127270244,0.010687511561673801
acute_proxy,ae_4hr_pct,threshold_interactions,0.92,kh03_occ_acute_rate,kh03_avail_acute_avg_beds,ae_type1_pct_4hr,3551,,-0.010490975360095377,0.0069286416228190595,0.13008232819954846,-0.22321921883487994,0.11673111125229421,0.055928440663775225,-0.006563488404503765,0.005596446610509431,0.24096042168402443,0.025158954786839206,0.01685632206536581,0.13564758019838896,-0.006320353620696606,0.009412984572669576,0.501979453666932
acute_proxy,canc_pct28,threshold_interactions,0.8,kh03_occ_acute_rate,kh03_avail_acute_avg_beds,canc_pct_not_treated_28_days,2857,,0.0037675089517152883,0.02877411985112561,0.8958374093663473,-0.08029767117605927,0.29493920416300173,0.7854495779485444,0.014540999936300912,0.017901519859654533,0.4167047561169297,0.04890140162506271,0.046927559010368124,0.2974773432965403,-0.07169743410376835,0.051458800898401595,0.16364551423076557
acute_proxy,canc_pct28,threshold_interactions,0.82,kh03_occ_acute_rate,kh03_avail_acute_avg_beds,canc_pct_not_treated_28_days,2857,,-0.024073234980904773,0.025252541056203143,0.340524472125598,-0.00945961213832765,0.2866017280914368,0.9736721666090902,0.04180506946628925,0.016799768014468443,0.01289120859110926,0.07289783749239441,0.04541164250272761,0.1085529692151177,-0.08096296821396601,0.050062369320616626,0.10594395087531328
acute_proxy,canc_pct28,threshold_interactions,0.85,kh03_occ_acute_rate,kh03_avail_acute_avg_beds,canc_pct_not_treated_28_days,2857,,-0.01193119141532661,0.017434953161083875,0.4938286256697748,-0.1184062564656157,0.24950126008736895,0.635130964677463,0.015893404645237207,0.011721070845137144,0.1752235928727035,0.011338997690471045,0.031126770325658002,0.7156744198122085,-0.013907886827895679,0.03288602404828514,0.6723936250675013
acute_proxy,canc_pct28,threshold_interactions,0.88,kh03_occ_acute_rate,kh03_avail_acute_avg_beds,canc_pct_not_treated_28_days,2857,,0.0018657263715501334,0.015023258626463594,0.9011748091614682,0.013173337917771352,0.19774857968580686,0.9468919089407104,0.017371719189950178,0.009758694289505938,0.07516859357033101,-0.03796714626739897,0.030689704937281223,0.21614751571490753,0.040061572019545195,0.025759000701606746,0.12000588759404174
acute_proxy,canc_pct28,threshold_interactions,0.9,kh03_occ_acute_rate,kh03_avail_acute_avg_beds,canc_pct_not_treated_28_days,2857,,-0.0008133447593265974,0.015153284648106991,0.9571985189949386,-0.1552033484350867,0.18773569926599565,0.40847407300728644,0.03137090071570505,0.010899050138616919,0.004029774821784127,-0.012188692420125857,0.03287624667496163,0.7108570898069768,0.015695904884862336,0.0202724503929358,0.43885255063798834
acute_proxy,canc_pct28,threshold_interactions,0.92,kh03_occ_acute_rate,kh03_avail_acute_avg_beds,canc_pct_not_treated_28_days,2857,,0.005778222507535681,0.01515788152577751,0.7030832589004405,0.009027546457276919,0.2094669901602422,0.9656268656632196,0.01914425828730415,0.01239215098826797,0.12249607689812936,0.01112322676426587,0.031638176515532995,0.7251838806548667,-0.003191583175783653,0.018743003661749438,0.8648017879343957
adult_ga_proxy,ae_12h_per_1k_att,threshold_interactions,0.8,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,ae_12h_per_1k_att,3551,,-3.5947519784062703,1.1852994289384073,0.002441534923504074,-3.0433979730361633,10.741644344794103,0.7769435309533175,0.8282085302589696,0.7408862761486676,0.2637054553664455,-4.789997838815739,1.0825837480069451,9.96725669133447e-06,4.465886624120315,1.1769786499482804,0.00015061559599383045
