org_code,period,org_name,financial_year,fy_quarter,kh03_avail_all_avg_beds,kh03_occ_all_avg_beds,kh03_occ_all_rate,kh03_avail_ga_avg_beds,kh03_occ_ga_avg_beds,kh03_occ_ga_rate,kh03_avail_mat_avg_beds,kh03_occ_mat_avg_beds,kh03_avail_acute_avg_beds,kh03_occ_acute_avg_beds,kh03_occ_acute_rate,kh03_occ_adult_ga_rate,ae_type1_attendances,ae_waits_12hr_decision_to_admit,ae_type1_pct_4hr,canc_cancelled_ops,canc_breaches_28d,canc_pct_not_treated_28_days,uec_financial_year,uec_fy_quarter,uec_uec_nctr_mean,uec_uec_nctr_max,uec_uec_days
RGR,2018-19 Q1,WEST SUFFOLK NHS FOUNDATION TRUST,2018-19,Q1,5.4,4.2,0.7777777777777778,455.3516483516484,373.75824175824175,0.8208123174940269,35.97802197802198,12.956043956043956,491.32967032967036,386.7142857142857,0.7870770056585628,0.8208123174940269,17346.0,0.0,0.9030900495791536,72.0,4.0,0.0555555555555555,,,,,
RGT,2018-19 Q1,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2018-19,Q1,11.1,10.1,0.9099099099099099,954.054945054945,889.4615384615385,0.9322959260069801,53.61538461538461,30.75824175824176,1007.6703296703297,920.2197802197802,0.9132151191956204,0.9322959260069801,29794.0,0.0,0.8462106464388804,187.0,26.0,0.1390374331550802,,,,,
RHA,2018-19 Q1,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,2018-19,Q1,11.3,10.0,0.8849557522123893,93.95604395604396,79.4065934065934,0.8451461988304093,0.0,0.0,93.95604395604396,79.4065934065934,0.8451461988304093,0.8451461988304093,,,,,,,,,,,
RJC,2018-19 Q1,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,2018-19,Q1,5.3,4.7,0.8867924528301887,443.8571428571428,395.7142857142857,0.8915352429996783,40.0,34.83516483516483,483.8571428571428,430.54945054945057,0.8898276214485251,0.8915352429996783,17464.0,0.0,0.929626660558864,49.0,9.0,0.1836734693877551,,,,,
RJE,2018-19 Q1,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,2018-19,Q1,15.9,14.4,0.9056603773584906,1381.0,1254.3846153846157,0.9083161588592438,64.0,52.85714285714285,1445.0,1307.2417582417586,0.9046655766378953,0.9083161588592438,46853.0,2.0,0.7542740059334515,511.0,42.0,0.0821917808219178,,,,,
RJF,2018-19 Q1,BURTON HOSPITALS NHS FOUNDATION TRUST,2018-19,Q1,4.0,3.4,0.85,344.4175824175824,291.35164835164835,0.8459255950481781,15.802197802197805,15.791208791208792,360.2197802197802,307.14285714285717,0.852654057352044,0.8459255950481781,17192.0,0.0,0.895881805490926,69.0,0.0,0.0,,,,,
RK5,2018-19 Q1,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,2018-19,Q1,7.3,6.0,0.8219178082191781,611.8791208791209,522.8901098901099,0.8545643935992528,48.0,23.736263736263737,659.8791208791209,546.6263736263736,0.8283734949791003,0.8545643935992528,25994.0,2.0,0.932715241978918,39.0,7.0,0.1794871794871795,,,,,
RKB,2018-19 Q1,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,2018-19,Q1,12.6,11.6,0.9206349206349206,1075.4835164835165,1044.3736263736264,0.9710735779460299,70.0,8.824175824175825,1145.4835164835165,1053.1978021978023,0.9194351442358427,0.9710735779460299,36311.0,0.0,0.8111591528737847,208.0,39.0,0.1875,,,,,
RL1,2018-19 Q1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,2018-19,Q1,1.8,1.4,0.7777777777777777,161.7032967032967,122.89010989010988,0.7599728168535508,0.0,0.0,161.7032967032967,122.89010989010988,0.7599728168535508,0.7599728168535508,0.0,0.0,,9.0,0.0,0.0,,,,,
RL4,2018-19 Q1,THE ROYAL WOLVERHAMPTON NHS TRUST,2018-19,Q1,9.4,8.7,0.9255319148936169,814.9120879120879,759.9120879120879,0.9325080572299311,36.0,35.97802197802198,850.9120879120879,795.8901098901099,0.935337646739762,0.9325080572299311,33896.0,1.0,0.8670639603493038,60.0,0.0,0.0,,,,,
RLQ,2018-19 Q1,WYE VALLEY NHS TRUST,2018-19,Q1,3.1,2.7,0.8709677419354839,267.8241758241758,240.1868131868132,0.8968078122435582,17.0,8.67032967032967,284.8241758241758,248.85714285714286,0.8737219800146611,0.8968078122435582,15121.0,0.0,0.7677402288208451,38.0,21.0,0.5526315789473685,,,,,
RLT,2018-19 Q1,GEORGE ELIOT HOSPITAL NHS TRUST,2018-19,Q1,3.7,3.4,0.9189189189189189,318.0,293.43956043956047,0.9227659133319511,14.461538461538462,14.395604395604396,332.46153846153845,307.83516483516485,0.9259271501289086,0.9227659133319511,21478.0,51.0,0.8911909861253375,42.0,5.0,0.119047619047619,,,,,
RLY,2018-19 Q1,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,2018-19,Q1,2.0,1.7,0.85,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
RM1,2018-19 Q1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2018-19,Q1,10.8,9.8,0.9074074074074074,901.8351648351648,851.3516483516484,0.9440213484104452,76.57142857142857,37.42857142857143,978.4065934065934,888.7802197802198,0.9083955747739653,0.9440213484104452,27662.0,0.0,0.796182488612537,273.0,54.0,0.1978021978021978,,,,,
RMY,2018-19 Q1,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,2018-19,Q1,4.3,3.6,0.8372093023255814,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
RNA,2018-19 Q1,THE DUDLEY GROUP NHS FOUNDATION TRUST,2018-19,Q1,7.7,7.0,0.9090909090909091,657.5384615384615,612.4615384615385,0.9314459522695367,42.0,25.25274725274725,699.5384615384615,637.7142857142857,0.911621477269157,0.9314459522695367,26316.0,1.0,0.7742438060495516,130.0,2.0,0.0153846153846153,,,,,
